Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CITED2 mouse	3/11	1.5320271943439296E-4	0.08747875279703839	0	0	27.27272727272727	239.55677863467514	CEBPA;LDHB;LDHD
EP300 human	4/56	0.002374631427088841	0.6779572724338642	0	0	7.142857142857142	43.163664586662144	MGMT;ALOX15;TBXAS1;S100A4
CIITA human	3/31	0.0036027345500000223	0.6857204760166709	0	0	9.67741935483871	54.44576249657231	HLA-DMA;HLA-DMB;S100A4
GATA2 mouse	2/10	0.004247232134539841	0.6062923872055623	0	0	20.0	109.22975541341087	CEBPA;LYL1
MYB human	3/37	0.005960437831234491	0.6806820003269788	0	0	8.108108108108109	41.534686532323185	CEBPA;CD4;LMO2
RFXANK human	2/15	0.009590008493683598	0.9126491416488891	0	0	13.333333333333332	61.96044672541186	HLA-DMA;HLA-DMB
RFXAP human	2/15	0.009590008493683598	0.782270692841905	0	0	13.333333333333332	61.96044672541186	HLA-DMA;HLA-DMB
PPARA mouse	3/46	0.010906030338555561	0.7784179154144032	0	0	6.521739130434782	29.46808304778061	CEBPA;SLC27A1;CD36
CREB1 human	4/90	0.01271291410432884	0.8065637726190853	0	0	4.444444444444445	19.400608638042335	LYL1;CD4;POLD2;SLC19A1
RFX5 human	2/18	0.013702204565774857	0.7823958807057443	0	0	11.11111111111111	47.6688726876	HLA-DMA;HLA-DMB
GATA1 human	3/57	0.01941144445372479	1.0	0	0	5.263157894736842	20.746802455538617	BACE1;CEBPA;F13A1
CREBBP human	2/25	0.02566829332016634	1.0	0	0	8.0	29.299990173554935	ALOX15;S100A4
ETS2 mouse	2/26	0.027627182900674514	1.0	0	0	7.6923076923076925	27.607346947977828	CD4;STAB1
PPARG human	3/66	0.02845100803275134	1.0	0	0	4.545454545454546	16.179871305937873	CEBPA;CAT;CD36
TFAP2A human	3/71	0.03428251691018052	1.0	0	0	4.225352112676056	14.252618728861458	BACE1;POLD2;SLC19A1
STAT1 mouse	2/34	0.0452815731960364	1.0	0	0	5.88235294117647	18.205030011541407	BACE1;CD36
ETV2 mouse	1/6	0.058526730760990416	1.0	0	0	16.666666666666664	47.30452821704204	LMO2
ETV5 mouse	1/6	0.058526730760990416	1.0	0	0	16.666666666666664	47.30452821704204	ELMO1
PRDM1 human	1/6	0.058526730760990416	1.0	0	0	16.666666666666664	47.30452821704204	LMO2
HES1 mouse	1/6	0.058526730760990416	1.0	0	0	16.666666666666664	47.30452821704204	CORO1A
HOXA9 mouse	1/6	0.058526730760990416	1.0	0	0	16.666666666666664	47.30452821704204	LMO2
SOX5 mouse	1/6	0.058526730760990416	1.0	0	0	16.666666666666664	47.30452821704204	CATSPER1
MBD1 human	1/6	0.058526730760990416	1.0	0	0	16.666666666666664	47.30452821704204	MGMT
FOXA2 mouse	2/40	0.06057350187737668	1.0	0	0	5.0	14.019488721418307	HHEX;HADH
SPI1 mouse	2/40	0.06057350187737668	1.0	0	0	5.0	14.019488721418307	FES;AIF1
HOXA1 human	1/7	0.06794426888853011	1.0	0	0	14.285714285714285	38.41524978585786	LYL1
