Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NFKB1 human	49/303	2.697330185676088E-45	1.540175536021046E-42	0	0	16.17161716171617	1659.597118591187	IL1RN;CD40;CD83;CSF2;CXCL8;CD80;TNFAIP3;CXCL1;TNF;CXCL2;ICAM1;NAMPT;NFKBIZ;IL12B;CCR7;IER3;EDN1;RIPK2;MMP1;TAP1;TRAF1;IL1A;ADORA2A;IL1B;IRF1;SQSTM1;ATF3;OPTN;HBEGF;BIRC3;EBI3;PTGS2;CYP27B1;SOCS3;CCL5;CCL4;STAT4;CCL3;CCL20;TNFRSF9;TFPI2;CFLAR;SOD2;NFKB1;NFKBIA;IL6;TNIP3;IL2RA;BCL3
RELA human	46/301	2.718342134284499E-41	7.760866793382245E-39	0	0	15.282392026578073	1427.4665996264168	IL1RN;CD40;CD83;CSF2;CXCL8;CD80;EBI3;TNFAIP3;CXCL1;PTGS2;TNF;CXCL2;ICAM1;CYP27B1;SOCS3;CCL5;NAMPT;NFKBIZ;CCL4;STAT4;CCL3;IL12B;CCR7;IER3;EDN1;RIPK2;CCL20;MMP1;TNFRSF9;TAP1;TRAF1;CFLAR;SOD2;NFKB1;NFKBIA;IL1A;IL6;ADORA2A;IL1B;IRF1;TNIP3;IL2RA;BCL3;OPTN;HBEGF;BIRC3
NFKB1 mouse	33/200	9.6403879216609E-31	1.8348871677561244E-28	0	0	16.5	1140.3839128137456	CD40;CSF2;CD80;EBI3;SLC1A2;TNFAIP3;CXCL1;PTGS2;TNF;CXCL2;RELB;CCL5;NFKBIZ;IL12B;TNFRSF4;EDN1;GADD45B;IL15;DUSP1;RIPK2;CCL20;CFLAR;SOD2;NFKB1;NFKBIA;IL1A;IL6;KLF5;ADORA2A;IL1B;IL2RA;REL;BIRC3
RELA mouse	21/121	2.443239128775852E-20	3.487723856327528E-18	0	0	17.355371900826448	783.7404305554467	CD40;RIPK2;CCL20;CD80;EBI3;SLC1A2;TNFAIP3;CFLAR;PTGS2;SOD2;TNF;NFKB1;ICAM1;IL6;KLF5;CCL5;IL12B;MAP3K8;TNFRSF4;MET;BIRC3
REL human	10/22	4.644043130067813E-15	5.303497254537442E-13	0	0	45.45454545454545	1500.1450474477815	IL6;IL1B;IL2RA;CCL5;TNFAIP3;IL12B;SOD2;ICAM1;BIRC3;IER3
JUN human	18/149	1.0314831490524727E-14	9.816281301816032E-13	0	0	12.080536912751679	389.0560298843759	EDN1;CSF2;CXCL8;MMP7;MMP1;PTGS2;SOD2;TNF;ETS2;NFKB2;RELB;IL1A;IL6;IL1B;CCL5;NAMPT;IL12B;ATF3
NFKBIA human	9/19	7.068977043803051E-14	5.7662655600164884E-12	0	0	47.368421052631575	1434.3383142084913	CD40;CXCL8;MMP1;IL1B;CCL5;EBI3;TRAF1;NFKB1;ICAM1
JUN mouse	16/131	2.760419947371373E-13	1.9702497374363176E-11	0	0	12.213740458015266	353.1996749425735	CSF2;MMP7;CXCL1;PTGS2;TNF;CXCL2;NFKB1;ICAM1;RELB;SOCS3;IL6;IL1B;CCL5;BCL3;IL12B;MET
STAT1 human	13/84	2.2693586292309593E-12	1.439781974767642E-10	0	0	15.476190476190476	414.94025031560534	CD40;EDN1;TAP1;PTGS2;ICAM1;SOCS3;PLSCR1;IL6;IL1B;IRF1;IL2RA;PIM1;CCL3
STAT3 human	14/142	1.6541103814091652E-10	9.444970277846333E-9	0	0	9.859154929577464	222.05368055871006	IL1RN;CXCL8;MMP7;MMP1;OSM;CFLAR;PTGS2;MMP10;ICAM1;SOCS3;IL6;IRF1;IL2RA;PIM1
