Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NFKB1 human	71/303	8.335644223351813E-50	4.759652851533885E-47	0	0	9.783859388026485	1105.661365882595	CD86;IL1RN;CD40;CDKN1A;CSF2;CD83;CXCL8;CSF1;CD80;TNFAIP3;CXCL1;TNF;CXCL2;CXCL5;ICAM1;NAMPT;NFKBIZ;IL12B;CCR7;UPP1;JUNB;IER3;EDN1;RIPK2;MMP1;TAP1;TRAF1;F3;IL1A;ADORA2A;IFNG;IL23A;IRF4;IL1B;IRF1;SQSTM1;OPTN;ATF3;BIRC2;PTGES;HBEGF;BIRC3;PTGER4;BCL2A1;EBI3;PTGS2;FOXO3;CYP27B1;SOCS3;CCL5;CCL4;STAT4;CCL3;CD58;MCL1;ABCA1;CCL20;TNFRSF9;TFPI2;CFLAR;SOD2;NFKB1;NFKBIA;IL6;TNIP3;COL7A1;IL2RA;BCL3;SNAI1;BCL2;FAS
RELA human	70/301	7.388085276785715E-49	2.1092983465223215E-46	0	0	9.710151963878236	1076.145078912756	CD86;IL1RN;CD40;CDKN1A;CSF2;CD83;CXCL8;CSF1;CD80;TNFAIP3;CXCL1;TNF;CXCL2;CXCL5;ICAM1;NAMPT;NFKBIZ;IL12B;CCR7;UPP1;JUNB;IER3;EDN1;RIPK2;MMP1;TAP1;TRAF1;F3;IL1A;ADORA2A;IFNG;IL23A;IRF4;IL1B;IRF1;OPTN;BIRC2;PTGES;HBEGF;BIRC3;PTGER4;BCL2A1;EBI3;TWIST1;PTGS2;FOXO3;CYP27B1;SOCS3;CCL5;CCL4;STAT4;CCL3;CD58;MCL1;ABCA1;CCL20;TNFRSF9;STAT3;CFLAR;SOD2;NFKB1;NFKBIA;IL6;TNIP3;COL7A1;IL2RA;BCL3;SNAI1;BCL2;FAS
NFKB1 mouse	50/200	1.2707223583479522E-36	2.4186082220556024E-34	0	0	10.438413361169102	862.7711672537777	CD86;CD40;CDKN1A;CSF2;CSF1;CD80;TNFAIP3;CXCL1;TNF;CXCL2;NFKBIZ;IL12B;UPP1;JUNB;TNFRSF4;EDN1;IL15;DUSP1;RIPK2;IL1A;ADORA2A;IFNG;IL23A;IRF4;IL1B;CFB;BIRC2;PTGES;BIRC3;CEBPB;EBI3;SLC1A2;TWIST1;PTGS2;RELB;CCL5;PMAIP1;BANP;GADD45B;CCL20;CFLAR;SOD2;NFKB1;NFKBIA;IL6;KLF5;IL2RA;REL;BCL2;FAS
RELA mouse	31/121	1.9884531235443474E-23	2.838516833859556E-21	0	0	10.697216998222881	559.1659980140523	CD86;CD40;CSF1;SERPINE2;CD80;EBI3;SLC1A2;TWIST1;TNFAIP3;PTGS2;TNF;ICAM1;CCL5;IL12B;MAP3K8;UPP1;TNFRSF4;RIPK2;CCL20;CFLAR;SOD2;NFKB1;IL6;KLF5;IFNG;IL23A;IRF4;BCL2;FAS;MET;BIRC3
JUN human	29/149	1.9603647246489004E-18	2.2387365155490446E-16	0	0	8.126549999299435	331.3470829565966	CDKN1A;CSF2;CXCL8;CD82;CSF1;TXN;PTGS2;TNF;ETS2;RELB;HEY1;CCL5;NAMPT;IL12B;ITGB8;BATF3;EDN1;MMP7;MMP1;SOD2;F3;NFKB2;IL1A;IL6;IFNG;IL23A;IL1B;FAS;ATF3
REL human	13/22	2.966552827556624E-16	2.823169440891387E-14	0	0	24.67261339912697	882.1436541145595	CDKN1A;BCL2A1;TNFAIP3;SOD2;F3;ICAM1;IL6;IL1B;IL2RA;CCL5;IL12B;BIRC3;IER3
STAT1 human	21/84	4.85285754626586E-16	3.958545227025437E-14	0	0	10.438413361169102	368.07717924487963	CD86;CD40;CDKN1A;EDN1;STAT3;TAP1;IFNLR1;PTGS2;ICAM1;SOCS3;PLSCR1;MUC1;IL6;IFNG;IL1B;IRF1;IL2RA;PIM1;CCL3;FAS;UPP1
NFKBIA human	12/19	1.3446013536613695E-15	9.597092161758024E-14	0	0	26.370728491374575	903.0043859035968	CD40;CXCL8;MMP1;IL1B;CCL5;EBI3;FAS;TRAF1;CD58;RELA;NFKB1;ICAM1
STAT3 human	25/142	5.366985465492498E-15	3.405054111995796E-13	0	0	7.3509953247669735	241.54275346117777	IL1RN;CDKN1A;CXCL8;TWIST1;PRDM1;PTGS2;ICAM1;SOCS3;MUC1;PIM1;JUNB;MCL1;ABCA1;MMP7;MMP1;OSM;CFLAR;MMP10;IL6;IFNG;IRF1;IL2RA;BCL2;FAS;CFB
JUN mouse	22/131	6.414594429264251E-13	3.662733419109888E-11	0	0	7.0120639372739015	196.86390845185937	CSF2;MMP7;TWIST1;CXCL1;PRDM1;PTGS2;TNF;CXCL2;NFKB1;ICAM1;RELB;SOCS3;IL6;IFNG;IL23A;IL1B;CCL5;BCL3;NCK2;IL12B;MET;NFE2L2
TP53 human	22/164	6.425723548082588E-11	3.3355346781410523E-9	0	0	5.601099852334641	131.4473214644677	PLK3;BTG3;CDKN1A;CD82;DUSP1;MMP1;STAT3;FOXO3;THBS1;NFKB1;RELA;SLC6A6;CCNA1;BCL3;BCL2;ANKRD1;PMAIP1;FAS;MET;ATF3;IER3;MCL1
TRP53 mouse	21/167	5.928113551811113E-10	2.820794031736788E-8	0	0	5.25045941519883	111.55202145845074	DUSP4;PLK3;CDKN1A;DUSP1;FOXO3;PTGS2;SOD2;NDRG1;THBS1;NFKB1;RELA;SLC6A6;CASP7;DDIT4;BCL2;ANKRD1;PMAIP1;FAS;UPP1;MET;ATF3
ATM human	9/22	9.072196360774505E-10	3.984787786155571E-8	0	0	17.081040045549443	355.6381264876601	CDKN1A;DUSP1;MTF1;BCL2;FAS;PMAIP1;CFLAR;PVR;MCL1
PPARG human	13/66	4.667375539009948E-9	1.9036224519819145E-7	0	0	8.224204466375657	157.76219129635143	ERO1A;CDKN1A;CD83;CSF1;GK;MMP1;TNFRSF11B;CFLAR;PTGS2;SAT1;ICAM1;BCL2;ANGPTL4
REL mouse	9/28	1.108459521635795E-8	4.2195359123602594E-7	0	0	13.42081717864599	245.8386304771467	IFNG;IL23A;CCL5;IL1B;TNFAIP3;IL12B;SOD2;TNF;BIRC3
SP1 human	34/472	1.3014787069020798E-8	4.6446521352567974E-7	0	0	3.007678426099572	54.61095753937593	CDKN1A;CD83;ITGB3;CXCL1;SLC3A2;AHR;PTGS2;TNF;RELA;CXCL5;ICAM1;CCL5;ABCA1;PTGIR;TFPI2;TICAM1;SOD2;F3;NFKB1;NFKB2;ISG20;NR4A1;IL6;P2RX4;COL7A1;BCL2;FAS;SQSTM1;MET;CD44;HBEGF;CES1;PTGES;B4GALT5
BCL3 mouse	7/15	2.3577872773906783E-8	7.919391384647513E-7	0	0	19.485038274182326	342.2148924520565	IFNG;IL23A;TNFAIP3;FBXO32;TNF;NFKB1;NFKB2
ATF2 human	9/32	4.133777294275581E-8	1.311326019461865E-6	0	0	11.743215031315241	199.6521430099807	CDKN1A;IFNG;DUSP1;ITGB8;FAS;PTGS2;TNF;RELA;ATF3
STAT4 human	6/11	7.632073520396298E-8	2.2936389369190982E-6	0	0	22.774720060732587	373.2394270641981	SOCS3;IFNG;IRF1;IL2RA;PRF1;PIM1
IRF1 mouse	8/25	7.719056905773111E-8	2.203790746598223E-6	0	0	13.361169102296452	218.8157134008217	CDKN1A;IFNG;CCL5;IL12B;TAP1;UPP1;TNF;CFB
EGR1 mouse	12/71	1.1037649185967907E-7	3.0011893738988926E-6	0	0	7.0569555117762945	113.04797197328577	NR4A1;GADD45B;IL1B;FAS;CXCL2;TNF;F3;MET;NDRG1;THBS1;ICAM1;PTGES
CEBPB human	11/60	1.5768140601394344E-7	4.092549219725532E-6	0	0	7.6548364648573415	119.89532486420141	CDKN1A;IL6;CXCL8;TNFAIP6;MMP1;IRF4;IL1B;ADM;PRDM1;PTGS2;TNF
SIRT1 human	10/48	1.635622382347569E-7	4.0606103492194E-6	0	0	8.698677800974252	135.92616785887452	CDKN1A;BCL11A;IL1B;NBN;CFLAR;FOXO3;TNF;NDRG1;ICAM1;MCL1
IRF8 mouse	7/23	7.605912973280999E-7	1.8095734615597708E-5	0	0	12.70763365707543	179.0400068686235	IFNG;IL1B;CCL5;IL12B;CFLAR;TNF;JAK1
HDAC1 human	11/71	9.29497271899629E-7	2.122971769018753E-5	0	0	6.468875885794937	89.84377171507124	CDKN1A;CXCL8;CD82;BCL2A1;BAMBI;STAT3;PTGS2;CD44;NFKB1;ICAM1;BIRC3
EGR1 human	12/88	1.225277751143815E-6	2.6908984457812244E-5	0	0	5.693680015183147	77.50432532192418	CDKN1A;IL6;CXCL8;IFNG;TFPI2;FAS;PTGS2;TNF;F3;ATF3;NFKB1;PTGES
PARP1 human	7/25	1.430688333951357E-6	3.0256408840230547E-5	0	0	11.691022964509395	157.33024490963314	CDKN1A;IFNG;BCL2;SNAI1;CXCL1;RELA;NFKB1
ABL1 human	5/10	1.7608943226555034E-6	3.590966636558187E-5	0	0	20.876826722338205	276.61145595198536	CDKN1A;CSF1;BCL2;PIM1;FOXO3
CEBPD human	6/17	1.808746119203555E-6	3.561358738155965E-5	0	0	14.736583568709323	194.86002757565322	TNFAIP6;CCL20;IL23A;CXCL1;PTGS2;TNF
STAT3 mouse	11/79	2.761619660267438E-6	5.256282753375691E-5	0	0	5.813799846727095	74.41485446270885	SOCS3;MUC1;IL6;IL23A;CCL20;STAT3;BCL2;TWIST1;PRDM1;TNF;RELA
IRF1 human	9/51	2.9939706805528304E-6	5.5147008341795684E-5	0	0	7.368291784354661	93.71664053603817	CD40;CDKN1A;CASP7;IFNG;CCL5;IRF2;BCL2;IL12B;TAP1
ID1 mouse	5/11	3.164725262731943E-6	5.647056640687311E-5	0	0	18.978933383943822	240.33866598899075	CDKN1A;IFNG;REL;THBS1;TNF
HDAC1 mouse	7/28	3.311339814695051E-6	5.729621315729921E-5	0	0	10.438413361169102	131.7135456432387	NFKBIA;CEBPB;CDKN1A;IL6;CCL5;IL12B;FAS
NFE2L2 mouse	9/53	4.180057713994823E-6	7.020038102032481E-5	0	0	7.090243037775239	87.81397529375207	IL1RN;CEBPB;BCL2;FAS;SLC7A11;SOD2;SQSTM1;NFKB1;NFE2L2
E2F1 human	14/134	4.196013094988334E-6	6.845495649252396E-5	0	0	4.36232200168261	54.01154783052977	CDKN1A;DUSP1;TNF;RASGRP1;THBS1;CASP7;DRAM1;IL23A;RASGEF1B;IL1B;TP53BP2;BCL2;CCL3;MCL1
HIF1A human	11/83	4.526235518017223E-6	7.179112446632873E-5	0	0	5.533616721583621	68.09458446547077	NR4A1;EDN1;MUC1;PFKFB3;TFRC;STAT3;TWIST1;CCR7;MET;HBEGF;PTGES
IKBKB mouse	5/12	5.3184466513412405E-6	8.207656859232023E-5	0	0	17.397355601948504	211.2792150326479	NFKBIA;PTGS2;CXCL2;TNF;NFKB1
CEBPB mouse	8/42	5.891132202989724E-6	8.852201283966139E-5	0	0	7.95307684660503	95.77144729422257	SOCS3;CSF3;CDKN1A;IL6;IL1B;BCL2;PTGS2;ATF3
